"Celltype"	"Slope"	"Intercept"	"Rsquare"
"Adipocytes"	0.585738653968454	0.0826400645070831	0.900379336693713
"ASPC1.APC"	0.622970428458384	0.0494252679275209	0.920923349392722
"ASPC2.ASC"	0.9380789239495	0.101196707272284	0.962769768447816
"B.Cells"	0.00850039429697318	0.000219211510603089	0.00318896500487324
"Dendritic"	-0.18509353474636	0.00381909501699234	0.309716113628489
"Endothelial"	1.45486417345247	-0.00012098818657842	0.902261096767781
"Lymph_Endo"	1.25239080144816	-0.0186587065335222	0.743586656507177
"Macrophage"	0.66829896864904	0.0347650393601883	0.144153132942083
"Mast"	0.438265470642469	-0.00548655143183297	0.101470576208696
"Mesothelial"	0.864155640473372	0.00681873150439915	0.734966191662217
"Monocytes"	0.980693718762586	0.00203453521591573	0.831767148882687
"NK.T"	2.41085699871426	-0.0280050700497255	0.929147698438673
"Pericytes"	0.657100449476461	-0.00033866537140525	0.491679987653645
"Pre.Myeloid"	1.17135496247083	-0.0324648676515889	0.619711235039888
"SMC"	0.6659339175302	-0.00342293778626704	0.423997514628616
