"Celltype"	"Slope"	"Intercept"	"Rsquare"
"Adipocytes"	0.557837692439527	0.104204807527104	0.952975738001388
"ASPC1.APC"	0.572145150763164	0.110345507018066	0.881231713849566
"B.Cells"	-0.482566510344088	0.00548821337908799	0.218546033307899
"Dendritic"	0.803996795116244	-0.00268473645467856	0.76113408765402
"Endothelial"	2.32769624970216	0.0165851378303792	0.733366286245968
"Lymph_Endo"	0.635441043993027	-0.00938600715093247	0.604478583710184
"Macrophage"	0.910406971887237	0.0654335953957164	0.883454719874087
"Mast"	1.1093054044198	0.00745459995514696	0.536329331921697
"Monocytes"	1.53843330810136	-0.0108915428202165	0.929746350114449
"NK.T"	2.92775069687231	-0.0169613314633771	0.70220779886738
"Pericytes"	0.90209623075293	0.00570560151195862	0.514552626811899
"Pseudo.Meso"	1.67385548222979	-0.0238217142039819	0.510412378334055
"SMC"	-0.0224739987165103	0.00338413979471774	0.00265070986185468
